a52dec 0.8.0-2
python-mechanize 1:0.4.10-2
python-msgpack 1.0.5-3
python-multivolumefile 0.2.3-9
python-netifaces 0.11.0-7
python-numpy 2.2.4-1
python-packaging 24.2-3
python-pdftotext 2.2.2-9
python-pillow 11.1.0-1
python-pip 25.0.1-1
python-psutil 7.0.0-1
python-py7zr 0.22.0-4
python-pybcj 1.0.3-1
python-pychm 0.8.6-9
python-pycparser 2.22-3
python-pycryptodome 3.21.0-3
python-pycryptodomex 3.22.0-1
python-pycups 2.0.4-3
python-pygdbmi 0.11.0.0-5
python-pygments 2.19.1-1
python-pykakasi 2.3.0-2
python-pyppmd 1.1.1-1
python-pyqt5 5.15.11-2
python-pyqt5-sip 12.17.0-1
python-pyqt6 6.8.1-1
python-pyqt6-sip 13.10.0-1
python-pyqt6-webengine 6.8.0-2
python-pyquery 2.0.0-6
python-pyserial 3.5-7
python-pysocks 1.7.1-10
python-pyzstd 0.16.2-2
python-regex 2024.11.6-2
python-requests 2.32.3-4
python-sentry_sdk 2.23.1-1
python-sgmllib3k 1.0.0-7
python-six 1.17.0-1
python-soupsieve 2.6-2
python-texttable 1.7.0-3
python-tinycss2 1.4.0-2
python-tqdm 4.67.1-2
python-unrardll 0.1.7-4
python-urllib3 2.3.0-1
python-webencodings 0.5.1-12
python-wheel 0.45.0-3
python-wrapt 1.16.0-4
python-xxhash 3.5.0-1
python-zeroconf 0.141.0-2
python-zstandard 0.23.0-2
qca-qt6 2.3.10-1
qcoro 0.11.0-1
qqc2-breeze-style 6.3.3-1
qqc2-desktop-style 6.12.0-1
qrencode 4.1.1-3
qt5-base 5.15.16+kde+r130-4
qt5-declarative 5.15.16+kde+r22-3
qt5-location 5.15.16+kde+r7-4
qt5-remoteobjects 5.15.16-3
qt5-svg 5.15.16+kde+r5-3
qt5-translations 5.15.16-3
qt5-webchannel 5.15.16+kde+r3-3
qt5-webengine 5.15.18-6
qt5-x11extras 5.15.16-3
qt6-5compat 6.8.2-2
qt6-base 6.8.2-3
qt6-declarative 6.8.2-1
qt6-imageformats 6.8.2-1
qt6-multimedia 6.8.2-1
qt6-multimedia-ffmpeg 6.8.2-1
qt6-positioning 6.8.2-1
qt6-quick3d 6.8.2-1
qt6-quicktimeline 6.8.2-1
qt6-sensors 6.8.2-1
qt6-shadertools 6.8.2-1
qt6-speech 6.8.2-1
qt6-svg 6.8.2-1
qt6-tools 6.8.2-2
qt6-translations 6.8.2-1
qt6-virtualkeyboard 6.8.2-1
qt6-wayland 6.8.2-1
qt6-webchannel 6.8.2-1
qt6-webengine 6.8.2-3
qt6-websockets 6.8.2-1
qt6-webview 6.8.2-1
qtkeychain-qt6 0.15.0-1
r 4.4.3-1
ragel 6.10-4
raptor 2.0.16-6
rasqal 1:0.9.33-7
rav1e 0.7.1-1
rclone 1.69.1-1
re2 1:20240702-3
readline 8.2.013-1
redland 1:1.0.17-9
ripgrep 14.1.1-1
ripgrep-all 0.10.6-3
rnote 0.11.0-1
rtkit 0.13-3
rubberband 4.0.0-1
runc 1.2.6-1
rust 1:1.85.1-1
sbc 2.0-2
scdoc 1.11.3-1
scour 0.38.2-5
sddm 0.21.0-6
sddm-kcm 6.3.3-1
sdl2-compat 2.32.52-1
sdl3 3.2.8-1
sed 4.9-3
serd 0.32.4-1
shaderc 2025.1-1
shadow 4.17.3-1
shared-mime-info 2.4-1
signon-kwallet-extension 24.12.3-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
slack-desktop 4.43.43-1
slang 2.3.3-3
smartmontools 7.4-2
smbclient 2:4.22.0-1
snappy 1.2.1-2
socat 1.8.0.3-1
sof-firmware 2025.01-1
solid 6.12.0-1
sonnet 6.12.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-14
spectacle 1:6.3.3-1
speex 1.2.1-2
speexdsp 1.2.1-2
spicetify-cli 2.39.5-1
spicetify-cli-debug 2.39.5-1
spirv-tools 1:1.4.309.0-1
spotify 1:1.2.59.514-1
sqlite 3.49.1-1
sratom 0.6.18-1
srt 1.5.4-1
starship 1.22.1-1
steam 1.0.0.82-1
sublime-text-4 4.4192-1
sublime-text-4-debug 4.4192-1
sudo 1.9.16.p2-2
svt-av1 3.0.1-1
syndication 6.12.0-1
syntax-highlighting 6.12.0-1
system-config-printer 1.5.18-5
systemd 257.4-1
systemd-libs 257.4-1
systemd-sysvcompat 257.4-1
systemsettings 6.3.3-1
taglib 2.0.2-1
talloc 2.4.3-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.13-1
tesseract 5.5.0-2
tesseract-data-afr 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
tevent 1:0.16.2-1
texinfo 7.2-1
texlab 5.22.0-1
texlive-basic 2025.1-1
texlive-bibtexextra 2025.1-1
texlive-bin 2025.1-1
texlive-binextra 2025.1-1
texlive-fontsextra 2025.1-1
texlive-fontsrecommended 2025.1-1
texlive-langarabic 2025.1-1
texlive-langchinese 2025.1-1
texlive-langcjk 2025.1-1
texlive-langcyrillic 2025.1-1
texlive-langczechslovak 2025.1-1
texlive-langenglish 2025.1-1
texlive-langeuropean 2025.1-1
texlive-langfrench 2025.1-1
texlive-langgerman 2025.1-1
texlive-langgreek 2025.1-1
texlive-langitalian 2025.1-1
texlive-langkorean 2025.1-1
texlive-langother 2025.1-1
texlive-langpolish 2025.1-1
texlive-langportuguese 2025.1-1
texlive-langspanish 2025.1-1
texlive-latex 2025.1-1
texlive-latexextra 2025.1-1
texlive-latexrecommended 2025.1-1
texlive-luatex 2025.1-1
texlive-mathscience 2025.1-1
texlive-pictures 2025.1-1
thin-provisioning-tools 1.1.0-1
threadweaver 6.12.0-1
tinysparql 3.8.2-3
tk 8.6.16-1
tmux 3.5_a-1
tor 0.4.8.15-1
torbrowser-launcher 0.3.7-3
tpm2-tss 4.1.3-1
tree 2.2.1-1
tree-sitter 0.25.3-1
tree-sitter-c 0.23.5-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.5.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-droid 20121017-11
ttf-fantasque-nerd 3.3.0-1
ttf-fira-code 6.2-2
ttf-hack 3.003-7
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.3.0-1
ttf-liberation 2.1.5-2
ttf-victor-mono 1.5.6-1
tzdata 2025a-1
uchardet 0.0.8-3
udisks2 2.10.1-5
unibilium 2.1.2-1
unzip 6.0-22
upower 1.90.7-1
usbutils 018-1
util-linux 2.41-2
util-linux-libs 2.41-2
v4l-utils 1.28.1-2
vapoursynth R70-2
verdict 1.4.2-1
vid.stab 1.1.1-2
vim 9.1.1198-1
vim-runtime 9.1.1198-1
visual-studio-code-bin 1.98.2-1
vlc 3.0.21-15
vmaf 3.0.0-1
volume_key 0.3.12-10
vulkan-headers 1:1.4.304.1-2
vulkan-icd-loader 1.4.304.1-1
vulkan-tools 1.4.304.1-1
wacomtablet 6.3.3-1
wayland 1.23.1-1
wayland-utils 1.2.0-2
webrtc-audio-processing-1 1.3-4
wget 1.25.0-1
which 2.23-1
wireplumber 0.5.8-1
wlogout-debug 1.2.2-0
woff2 1.0.2-5
wpa_supplicant 2:2.11-3
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.0-1
xdg-desktop-portal-kde 6.3.3-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xf86-input-wacom 1.2.3-1
xkeyboard-config 2.44-1
xmlsec 1.3.7-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.16-1
xorg-server-common 21.1.16-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.4-1
xorg-xdpyinfo 1.3.4-2
xorg-xkbcomp 1.4.7-1
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.6-1
xorgproto 2024.1-2
xsettingsd 1.0.2-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.6.4-1
yay 12.4.2-1
yay-debug 12.4.2-1
zathura 0.5.11-1
zathura-pdf-mupdf 0.4.4-13
zenity 4.0.5-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.6.2-1
zlib 1:1.3.1-2
zoom 6.3.11-1
zotero 7.0.13-1
zotero-debug 7.0.13-1
zstd 1.5.7-2
zxing-cpp 2.3.0-4
zziplib 0.13.78-1
